43# Number of electrodes
# x z
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
446 #Number of data
#a	b	m	n	rhoa	err
 27.0	29.0	31.0	33.0	10.62	0.2
 28.0	29.0	32.0	33.0	66.34	0.2
 29.0	30.0	33.0	34.0	56.09	0.2
 29.0	31.0	33.0	35.0	9.26	0.2
 30.0	31.0	34.0	35.0	57.9	0.2
 31.0	32.0	35.0	36.0	54.24	0.2
 31.0	33.0	35.0	37.0	5.44	0.2
 32.0	33.0	36.0	37.0	33.98	0.2
 33.0	34.0	37.0	38.0	48.02	0.2
 33.0	35.0	37.0	39.0	11.11	0.2
 34.0	35.0	38.0	39.0	69.43	0.2
 35.0	36.0	39.0	40.0	74.73	0.2
 35.0	37.0	39.0	41.0	29.97	0.2
 36.0	37.0	40.0	41.0	67.77	0.2
 37.0	38.0	41.0	42.0	56.35	0.2
 37.0	39.0	41.0	43.0	9.02	0.2
 38.0	39.0	42.0	43.0	56.35	0.2
 1.0	2.0	6.0	7.0	20.03	0.2
 2.0	3.0	7.0	8.0	25.12	0.2
 3.0	4.0	8.0	9.0	24.82	0.2
 4.0	5.0	9.0	10.0	28.67	0.2
 5.0	6.0	10.0	11.0	37.51	0.2
 6.0	7.0	11.0	12.0	34.95	0.2
 7.0	8.0	12.0	13.0	33.13	0.2
 8.0	9.0	13.0	14.0	26.13	0.2
 9.0	10.0	14.0	15.0	36.67	0.2
 10.0	11.0	15.0	16.0	92.81	0.2
 11.0	12.0	16.0	17.0	50.24	0.2
 12.0	13.0	17.0	18.0	36.59	0.2
 13.0	14.0	18.0	19.0	17.5	0.2
 14.0	15.0	19.0	20.0	22.29	0.2
 15.0	16.0	20.0	21.0	79.81	0.2
 16.0	17.0	21.0	22.0	41.29	0.2
 17.0	18.0	22.0	23.0	54.83	0.2
 18.0	19.0	23.0	24.0	42.55	0.2
 19.0	20.0	24.0	25.0	536.13	0.2
 20.0	21.0	25.0	26.0	536.13	0.2
 21.0	22.0	26.0	27.0	250.79	0.2
 22.0	23.0	27.0	28.0	182.55	0.2
 23.0	24.0	28.0	29.0	44.17	0.2
 24.0	25.0	29.0	30.0	419.37	0.2
 25.0	26.0	30.0	31.0	419.37	0.2
 26.0	27.0	31.0	32.0	419.37	0.2
 27.0	28.0	32.0	33.0	352.38	0.2
 28.0	29.0	33.0	34.0	106.82	0.2
 29.0	30.0	34.0	35.0	60.87	0.2
 30.0	31.0	35.0	36.0	64.95	0.2
 31.0	32.0	36.0	37.0	46.15	0.2
 32.0	33.0	37.0	38.0	28.83	0.2
 33.0	34.0	38.0	39.0	59.31	0.2
 34.0	35.0	39.0	40.0	61.54	0.2
 35.0	36.0	40.0	41.0	61.47	0.2
 36.0	37.0	41.0	42.0	66.66	0.2
 37.0	38.0	42.0	43.0	60.05	0.2
 1.0	3.0	7.0	9.0	16.63	0.2
 3.0	5.0	9.0	11.0	18.22	0.2
 5.0	7.0	11.0	13.0	21.15	0.2
 7.0	9.0	13.0	15.0	23.45	0.2
 9.0	11.0	15.0	17.0	46.28	0.2
 11.0	13.0	17.0	19.0	24.81	0.2
 13.0	15.0	19.0	21.0	12.86	0.2
 15.0	17.0	21.0	23.0	39.03	0.2
 17.0	19.0	23.0	25.0	28.47	0.2
 19.0	21.0	25.0	27.0	317.24	0.2
 21.0	23.0	27.0	29.0	94.62	0.2
 23.0	25.0	29.0	31.0	18.63	0.2
 25.0	27.0	31.0	33.0	191.76	0.2
 27.0	29.0	33.0	35.0	191.76	0.2
 29.0	31.0	35.0	37.0	36.71	0.2
 31.0	33.0	37.0	39.0	21.61	0.2
 33.0	35.0	39.0	41.0	58.21	0.2
 35.0	37.0	41.0	43.0	58.21	0.2
 1.0	3.0	8.0	9.0	28.04	0.2
 2.0	4.0	9.0	10.0	28.24	0.2
 3.0	5.0	10.0	11.0	38.38	0.2
 4.0	6.0	11.0	12.0	33.72	0.2
 5.0	7.0	12.0	13.0	28.4	0.2
 6.0	8.0	13.0	14.0	23.6	0.2
 7.0	9.0	14.0	15.0	44.91	0.2
 8.0	10.0	15.0	16.0	50.02	0.2
 9.0	11.0	16.0	17.0	55.01	0.2
 10.0	12.0	17.0	18.0	47.23	0.2
 11.0	13.0	18.0	19.0	29.25	0.2
 12.0	14.0	19.0	20.0	20.14	0.2
 13.0	15.0	20.0	21.0	16.9	0.2
 14.0	16.0	21.0	22.0	48.62	0.2
 15.0	17.0	22.0	23.0	50.96	0.2
 16.0	18.0	23.0	24.0	37.88	0.2
 18.0	19.0	24.0	26.0	717.58	0.2
 17.0	19.0	24.0	25.0	12.34	0.2
 19.0	20.0	25.0	27.0	1143.2	0.2
 20.0	21.0	26.0	28.0	495.35	0.2
 21.0	22.0	27.0	29.0	216.23	0.2
 22.0	23.0	28.0	30.0	66.56	0.2
 23.0	24.0	29.0	31.0	41.65	0.2
 24.0	25.0	30.0	32.0	11.21	0.2
 25.0	26.0	31.0	33.0	2.11	0.2
 24.0	26.0	31.0	32.0	774.65	0.2
 25.0	27.0	32.0	33.0	1223.74	0.2
 26.0	28.0	33.0	34.0	748.42	0.2
 27.0	29.0	34.0	35.0	372.11	0.2
 28.0	30.0	35.0	36.0	124.04	0.2
 29.0	31.0	36.0	37.0	62.13	0.2
 30.0	32.0	37.0	38.0	54.8	0.2
 31.0	33.0	38.0	39.0	34.94	0.2
 32.0	34.0	39.0	40.0	40.87	0.2
 33.0	35.0	40.0	41.0	43.93	0.2
 34.0	36.0	41.0	42.0	60.87	0.2
 35.0	37.0	42.0	43.0	65.31	0.2
 17.0	21.0	23.0	29.0	31.9	0.2
 21.0	25.0	27.0	33.0	29.13	0.2
 25.0	29.0	31.0	37.0	9.15	0.2
 29.0	33.0	35.0	41.0	2.5	0.2
 1.0	3.0	9.0	11.0	21.99	0.2
 1.0	5.0	9.0	13.0	11.2	0.2
 3.0	5.0	11.0	13.0	21.67	0.2
 5.0	7.0	13.0	15.0	22.36	0.2
 5.0	9.0	13.0	17.0	14.21	0.2
 7.0	9.0	15.0	17.0	37.12	0.2
 9.0	11.0	17.0	19.0	31.33	0.2
 9.0	13.0	17.0	21.0	16.74	0.2
 11.0	13.0	19.0	21.0	20.07	0.2
 13.0	15.0	21.0	23.0	12.21	0.2
 13.0	17.0	21.0	25.0	20.97	0.2
 15.0	17.0	23.0	25.0	31.7	0.2
 17.0	19.0	25.0	27.0	924.1	0.2
 17.0	21.0	25.0	29.0	1.7	0.2
 19.0	21.0	27.0	29.0	219.19	0.2
 21.0	23.0	29.0	31.0	24.71	0.2
 25.0	27.0	33.0	35.0	1112.77	0.2
 25.0	29.0	33.0	37.0	213.83	0.2
 27.0	29.0	35.0	37.0	292.22	0.2
 29.0	31.0	37.0	39.0	64.23	0.2
 31.0	33.0	39.0	41.0	21.75	0.2
 33.0	35.0	41.0	43.0	45.22	0.2
 1.0	3.0	10.0	11.0	37.23	0.2
 2.0	4.0	11.0	12.0	32.27	0.2
 3.0	5.0	12.0	13.0	31.52	0.2
 4.0	6.0	13.0	14.0	23.19	0.2
 5.0	7.0	14.0	15.0	42.52	0.2
 6.0	8.0	15.0	16.0	53.59	0.2
 7.0	9.0	16.0	17.0	44.11	0.2
 8.0	10.0	17.0	18.0	33.11	0.2
 9.0	11.0	18.0	19.0	35.28	0.2
 10.0	12.0	19.0	20.0	39.6	0.2
 11.0	13.0	20.0	21.0	27.0	0.2
 12.0	14.0	21.0	22.0	15.83	0.2
