Pos      Prof       R (d)    R (i)    Rstima
62.       4.      -0.02059 -1.37947 -0.64636
63.       4.           nan -0.64636 -0.64636
65.       4.      -0.37275 -2.65455 -0.64636
 66.        4.       -0.00105 -12.14464  -0.64636
67.          4.         -0.74484    -7.4539     -0.84051135
69.         4.        -0.00602   -1.06624   -0.8065515
70.       4.           nan -1.57531 -1.57531
71.       4.           nan -0.09629 -0.09629
73.       4.           nan -0.08046 -0.08046
74.       4.      -0.00143 -8.05613 -0.08046
75.       4.      -0.01243 -5.1607  -1.3755 
77.      4.         nan -1.3755 -1.3755
78.       4.           nan -1.38623 -1.38623
79.      4.         nan -0.0518 -0.0518
81.       4.           nan -0.04003 -0.04003
82.       4.      -0.00128 -0.80983 -0.06285
83.       4.      -0.0605  -0.0652  -0.06285
85.       4.      -0.00156 -0.25978 -0.06285
86.       4.      -0.04375 -0.91453 -0.14062
87.       4.           nan -0.14062 -0.14062
89.       4.           nan -4.57636 -4.57636
 6.        5.       -0.36488  -0.65345  -0.509165
 8.       5.           nan -0.13133 -0.13133
10.       5.           nan -0.05579 -0.05579
12.       5.           nan -0.08816 -0.08816
16.       5.           nan -0.10461 -0.10461
18.       5.      -0.19218 -0.16392 -0.17805
20.       5.           nan -0.03244 -0.03244
22.       5.           nan -0.05369 -0.05369
24.       5.      -0.00062      nan -0.00062
26.     5.       nan -0.134 -0.134
28.       5.      -0.00062 -0.27415 -0.134  
30.          5.         -0.03429    -0.32744    -0.04916898
32.       5.           nan -0.01773 -0.01773
34.          5.         -0.01798    -0.04481    -0.03519688
36.       5.           nan -0.07873 -0.07873
38.       5.           nan -0.05719 -0.05719
40.       5.           nan -0.01141 -0.01141
42.     5.       nan -0.014 -0.014
44.          5.         -0.08721    -0.00845    -0.05545506
48.       5.      -0.25121      nan -0.25121
50.       5.      -0.05141      nan -0.05141
54.        5.       -0.04689  -3.53684  -0.162845
56.        5.       -0.11846  -0.20723  -0.162845
58.      5.         nan -0.4529 -0.4529
60.       5.           nan -0.32591 -0.32591
62.       5.           nan -0.45763 -0.45763
64.       5.           nan -0.55075 -0.55075
66.       5.      -0.07938 -3.11547 -0.55075
68.       5.      -0.19232 -0.95758 -0.55075
70.          5.         -3.06954    -0.17459    -0.23425488
72.       5.           nan -0.11236 -0.11236
74.       5.           nan -0.06971 -0.06971
76.       5.      -0.00529 -1.29319 -0.34481
78.       5.           nan -0.34481 -0.34481
80.       5.           nan -0.04778 -0.04778
84.       5.      -0.04064 -0.02504 -0.03284
86.       5.           nan -0.17463 -0.17463
88.       5.           nan -0.39737 -0.39737
 8.       6.      -0.01068 -0.28153 -0.14175
12.       6.           nan -0.14175 -0.14175
16.       6.           nan -0.06611 -0.06611
20.       6.           nan -0.12249 -0.12249
24.       6.      -0.20815 -0.26381 -0.23598
28.          6.         -0.0085     -0.38557    -0.38079412
32.       6.           nan -0.39047 -0.39047
36.       6.           nan -0.09826 -0.09826
40.       6.           nan -0.03645 -0.03645
44.         6.        -0.1244    -0.05301   -0.0949035
48.       6.      -0.29426      nan -0.29426
52.       6.      -0.03282      nan -0.03282
56.       6.      -0.00982 -3.36606 -0.03282
60.       6.      -0.36975 -1.26825 -0.9843 
64.      6.         nan -0.9843 -0.9843
68.       6.      -0.0076  -1.32683 -0.30017
72.       6.           nan -0.30017 -0.30017
76.       6.      -0.00693 -1.16516 -0.20727
80.       6.           nan -0.20727 -0.20727
